tourist_id,age,gender,nationality,city_visited,trip_duration_days,season,travel_company,total_spending_usd
T00001,15,Female,Germany,Cairo,9,Spring,Galaxy Travel Egypt,1658.99
T00002,16,Male,Canada,Hurghada,8,Autumn,King Tut Tours,2309.34
T00003,11,Female,Germany,Luxor,3,Spring,Classic Tours Egypt,594.1
T00004,5,Female,Norway,Aswan,10,Summer,Falcon Travel Egypt,2985.73
T00005,11,Male,UK,Cairo,6,Summer,Nile Travel Egypt,894.9
T00006,18,Female,Denmark,Luxor,10,Spring,Nile Blue Tours,2098.53
T00007,12,Female,Sweden,Alexandria,7,Spring,Wings Tours Egypt,706.81
T00008,15,Male,Norway,Cairo,6,Spring,Mirage Travel Egypt,583.74
T00009,9,Male,Norway,Luxor,6,Winter,Explore Egypt Tours,1003.58
T00010,11,Female,Australia,Hurghada,8,Autumn,Universal Travel Egypt,1294.92
T00011,17,Male,Italy,Cairo,8,Summer,Egypt Time Travel,1204.85
T00012,10,Male,Canada,Cairo,3,Spring,MISR Travel,534.58
T00013,14,Male,UK,Luxor,10,Spring,Insight Vacations Egypt,2182.22
T00014,15,Male,Norway,Luxor,9,Spring,Egypt Tailor Made Tours,984.69
T00015,11,Female,Netherlands,Cairo,3,Winter,Majestic Travel Egypt,501.71
T00016,14,Male,Australia,Aswan,4,Winter,Scandia Tours Egypt,977.55
T00017,17,Female,France,Aswan,10,Winter,Lotus Tours Egypt,1323.43
T00018,14,Male,Spain,Alexandria,5,Winter,Zenith Travel Egypt,600.77
T00019,18,Female,Netherlands,Alexandria,2,Spring,Abercrombie & Kent Egypt,354.13
T00020,12,Male,Norway,Sharm El Sheikh,8,Summer,Travel Point Egypt,1341.84
T00021,15,Female,Italy,Hurghada,10,Spring,Travel Line Egypt,1640.03
T00022,16,Female,Spain,Alexandria,6,Summer,Deluxe Tours Egypt,864.17
T00023,17,Female,UK,Cairo,7,Winter,Osoris Travel,787.15
T00024,5,Male,Sweden,Luxor,6,Autumn,Victory Travel Egypt,689.74
T00025,10,Female,France,Hurghada,10,Autumn,Elite Egypt Tours,2441.69
T00026,13,Female,Denmark,Sharm El Sheikh,4,Summer,Professional Travel Egypt,1077.25
T00027,7,Female,Netherlands,Aswan,5,Spring,Luxor and Aswan Travel,1435.81
T00028,18,Female,Germany,Hurghada,8,Spring,Adventure Egypt Tours,2231.47
T00029,10,Female,Denmark,Luxor,9,Summer,Plan Egypt Tours,2154.93
T00030,17,Female,UK,Sharm El Sheikh,4,Winter,Classic Tours Egypt,672.48
T00031,12,Female,Italy,Alexandria,7,Autumn,Egypt Time Travel,1177.42
T00032,8,Female,Sweden,Alexandria,9,Summer,Pyramids Land Tours,1405.25
T00033,8,Female,Canada,Alexandria,3,Autumn,New Horizon Travel Egypt,537.99
T00034,6,Male,Spain,Hurghada,3,Summer,Jasmine Travel Egypt,669.84
T00035,14,Male,Canada,Luxor,2,Summer,Travel Point Egypt,369.05
T00036,7,Female,Australia,Sharm El Sheikh,7,Winter,Travel Masters Egypt,1141.13
T00037,6,Male,USA,Alexandria,5,Winter,Abercrombie & Kent Egypt,635.17
T00038,12,Male,Italy,Aswan,4,Summer,Victory Travel Egypt,1002.32
T00039,14,Female,Canada,Aswan,7,Summer,Global Travel Egypt,1111.48
T00040,6,Male,Italy,Sharm El Sheikh,5,Autumn,Blue Sky Travel Egypt,1374.29
T00041,12,Male,UK,Hurghada,10,Autumn,Adventure Egypt Tours,1674.87
T00042,15,Female,Norway,Aswan,8,Winter,Pyramids Land Tours,1901.8
